Time	Channel A
(s)	(V)

1.51866970	0.03746309
1.52000304	0.03746309
1.52133637	0.03746309
1.52266971	0.03746309
1.52400304	0.03746309
1.52533638	0.03746309
1.52666972	0.03746309
1.52800305	0.03746309
1.52933639	0.03746309
1.53066972	0.03746309
1.53200306	0.05622539
1.53333640	0.03746309
1.53466973	0.03746309
1.53600307	0.03746309
1.53733640	0.03746309
1.53866974	0.03746309
1.54000308	0.03746309
1.54133641	0.03746309
1.54266975	0.03746309
1.54400308	0.03746309
1.54533642	0.03746309
1.54666976	0.03746309
1.54800309	0.01870079
1.54933643	0.03746309
1.55066976	0.03746309
1.55200310	0.03746309
1.55333644	0.03746309
1.55466977	0.03746309
1.55600311	0.03746309
1.55733644	0.03746309
1.55866978	0.03746309
1.56000312	0.03746309
1.56133645	0.03746309
1.56266979	0.03746309
1.56400312	0.03746309
1.56533646	0.03746309
1.56666980	0.03746309
1.56800313	0.03746309
1.56933647	0.03746309
1.57066980	0.03746309
1.57200314	0.03746309
1.57333648	0.03746309
1.57466981	0.03746309
1.57600315	0.03746309
1.57733648	0.03746309
1.57866982	0.03746309
1.58000316	0.03746309
1.58133649	0.03746309
1.58266983	0.03746309
1.58400316	0.03746309
1.58533650	0.03746309
1.58666984	0.03746309
1.58800317	0.03746309
1.58933651	0.03746309
1.59066984	0.03746309
1.59200318	0.03746309
1.59333652	0.03746309
1.59466985	0.03746309
1.59600319	0.05622539
1.59733652	0.07492618
1.59866986	0.03746309
1.60000320	0.03746309
1.60133653	0.03746309
1.60266987	0.03746309
1.60400320	0.03746309
1.60533654	0.03746309
1.60666988	-0.03746309
1.60800321	0.03746309
1.60933655	0.03746309
1.61066988	0.03746309
1.61200322	0.03746309
1.61333656	0.03746309
1.61466989	0.03746309
1.61600323	0.03746309
1.61733656	0.03746309
1.61866990	0.03746309
1.62000324	0.03746309
1.62133657	0.03746309
1.62266991	0.03746309
1.62400324	0.03746309
1.62533658	0.03746309
1.62666992	0.03746309
1.62800325	0.03746309
1.62933659	0.03746309
1.63066992	0.05622539
1.63200326	0.05622539
1.63333660	0.03746309
1.63466993	0.03746309
1.63600327	0.03746309
1.63733660	0.03746309
1.63866994	0.03746309
1.64000328	0.03746309
1.64133661	0.05622539
1.64266995	0.03746309
1.64400328	0.03746309
1.64533662	0.03746309
1.64666996	0.03746309
1.64800329	0.03746309
1.64933663	0.03746309
1.65066996	0.03746309
1.65200330	0.03746309
1.65333664	0.03746309
1.65466997	0.03746309
1.65600331	0.03746309
1.65733664	0.03746309
1.65866998	0.03746309
1.66000332	0.03746309
1.66133665	0.03746309
1.66266999	0.03746309
1.66400332	0.03746309
1.66533666	0.03746309
1.66667000	0.03746309
1.66800333	0.03746309
1.66933667	0.03746309
1.67067000	0.03746309
1.67200334	0.03746309
1.67333668	0.03746309
1.67467001	0.03746309
1.67600335	0.03746309
1.67733668	0.03746309
1.67867002	0.03746309
1.68000336	0.03746309
1.68133669	0.03746309
1.68267003	0.03746309
1.68400336	0.01870079
1.68533670	0.03746309
1.68667004	0.03746309
1.68800337	0.03746309
1.68933671	0.03746309
1.69067004	0.03746309
1.69200338	0.03746309
1.69333672	0.03746309
1.69467005	0.05622539
1.69600339	0.03746309
1.69733672	0.03746309
1.69867006	0.03746309
1.70000340	0.03746309
1.70133673	0.03746309
1.70267007	0.03746309
1.70400340	0.03746309
1.70533674	0.03746309
1.70667008	0.03746309
1.70800341	0.03746309
1.70933675	0.03746309
1.71067008	0.05622539
1.71200342	0.03746309
1.71333676	0.03746309
1.71467009	0.03746309
1.71600343	0.05622539
1.71733676	0.03746309
1.71867010	0.03746309
1.72000344	0.03746309
1.72133677	0.03746309
1.72267011	0.03746309
1.72400344	0.03746309
1.72533678	0.03746309
1.72667012	0.03746309
1.72800345	0.03746309
1.72933679	0.03746309
1.73067012	0.03746309
1.73200346	0.03746309
1.73333680	0.03746309
1.73467013	0.03746309
1.73600347	0.03746309
1.73733680	0.03746309
1.73867014	0.03746309
1.74000348	0.03746309
1.74133681	0.03746309
1.74267015	0.03746309
1.74400348	0.03746309
1.74533682	0.05622539
1.74667016	0.03746309
1.74800349	0.03746309
1.74933683	0.03746309
1.75067016	0.03746309
1.75200350	0.03746309
1.75333684	0.03746309
1.75467017	0.03746309
1.75600351	0.05622539
1.75733684	0.03746309
1.75867018	0.03746309
1.76000352	0.03746309
1.76133685	0.03746309
1.76267019	0.03746309
1.76400352	0.07492618
1.76533686	0.03746309
1.76667020	0.03746309
1.76800353	0.03746309
1.76933687	0.03746309
1.77067020	0.03746309
1.77200354	0.03746309
1.77333688	0.03746309
1.77467021	0.03746309
1.77600355	0.03746309
1.77733688	0.03746309
1.77867022	0.03746309
1.78000356	0.03746309
1.78133689	0.03746309
1.78267023	0.03746309
1.78400356	0.03746309
1.78533690	0.03746309
1.78667024	0.03746309
1.78800357	0.03746309
1.78933691	0.03746309
1.79067024	0.03746309
1.79200358	0.03746309
1.79333692	0.03746309
1.79467025	0.03746309
1.79600359	0.03746309
1.79733692	0.03746309
1.79867026	0.03746309
1.80000360	0.03746309
1.80133693	0.03746309
1.80267027	0.03746309
1.80400360	0.03746309
1.80533694	0.03746309
1.80667028	0.03746309
1.80800361	0.03746309
1.80933695	0.03746309
1.81067028	0.03746309
1.81200362	0.03746309
1.81333696	0.03746309
1.81467029	0.01870079
